,q
average:,0.960488260106999
average:,0.000638306288278093
average:,0.006017864575545199
average:,0.1653433372213951
average:,0.0001844763877522434
average:,0.0173476966408317
average:,0.0001572370162727757
average:,0.003982125868115543
average:,0.00013697150478907857
average:,0.0009284020731954716
average:,0.0005885363105582385
average:,1.7881385586908994e-05
average:,0.0023835892148067793
average:,0.0005762576059064706
average:,0.8262100240818598
average:,0.014505626506489854
average:,0.0032540552273502654
average:,0.002041578099024106
average:,0.0020014642377689674
average:,0.008669018785520526
average:,0.33044393132108557
average:,0.9594894636399612
average:,0.0009488463031631388
average:,0.007348360125152653
average:,0.0020710226241403367
average:,0.012720224973801745
average:,0.00046622746271892887
average:,0.0005658268515077776
average:,0.7006431285727495
average:,0.009226023751451503
average:,0.0013099311946042672
average:,0.0013338330030097968
average:,0.05993055774121097
average:,0.000898003570583322
average:,0.015034915753473004
average:,0.0010563730843642135
average:,0.08907884570618123
average:,0.0006478429826555855
average:,0.9530209911647163
average:,0.9999288320546633
average:,0.9750178461586894
average:,0.999993860721789
average:,0.9999008178714189
average:,9.584428806559388e-05
average:,0.9998383522021627
average:,0.9970042108821134
average:,0.9996990561556548
average:,0.9999946355818068
average:,0.9999933242797853
average:,0.9992942810139349
average:,0.9998135566643233
average:,0.9975844622591492
average:,0.9999996423721385
average:,0.9999994635581704
average:,0.9994487762445813
average:,0.9980075955747612
average:,0.9999796748153261
average:,0.999110996716311
average:,0.9837932586978353
average:,0.9999556541453393
average:,0.9998756051024218
average:,0.9988660216455959
average:,0.9998919963811598
average:,0.9999964237213419
average:,0.9995740055903385
average:,0.9599910368641887
average:,0.99923264977807
average:,0.9988937973467646
average:,0.9999894499780475
average:,0.9997211694694832
average:,0.849132414317026
average:,0.9891884325577985
average:,0.9975758790558125
average:,0.9996362328501447
average:,0.9995220303558094
average:,0.9999875426295286
average:,0.999391078967073
average:,0.9998656511341061
average:,0.9971209765062418
average:,1.0
average:,0.7561956160103442
average:,0.996881246635202
average:,0.999985396862246
average:,0.268157616951003
average:,0.9801724561488696
average:,0.9999844431868498
average:,0.8721785005066817
